code_article,libelle,famille,unite,prix_standard,statut,fournisseur_principal
ART001,Plaque de sol 40x40,ISOLATION,M,83.38,INACTIF,FOUR018
ART002,Poutre précontrainte T160,BETON,L,178.05,inactif,FOUR017
ART003,Voile béton 18cm,,L,407.74,ACTIF,FOUR016
ART004,Plaque de sol 40x40,,L,232.89,ACTIF,FOUR017
ART005,Poteau carré 25x25,ISOLATION,KG,148.9,ACTIF,FOUR011
ART006,Linteau préfabriqué 1m20,ISOLATION,M,-213.84598853647708,ACTIF,FOUR010
ART007,Escalier droit 12 marches,ISOLATION,M,11.89,INACTIF,FOUR012
ART008,Escalier droit 12 marches,ISOLATION,M,179.07,inactif,FOUR014
ART009,Linteau préfabriqué 1m20,BETON,M,93.54,inactif,FOUR015
ART010,Planche de rive 3m,BETON,M,497.5,inactif,FOUR001
ART011,Poutre précontrainte T160,ARMATURE,KG,175.01,inactif,FOUR005
ART012,Voile béton 18cm,ISOLATION,KG,461.98,ACTIF,FOUR007
ART013,Linteau préfabriqué 1m20,ISOLATION,M,10.39,ACTIF,FOUR012
ART014,Prémur 15cm,,M,435.39,ACTIF,FOUR008
ART015,Plaque de sol 40x40,ARMATURE,M,294.31,inactif,FOUR002
ART016,Plaque de sol 40x40,ISOLATION,kilo,401.13,ACTIF,FOUR008
ART017,Poutre précontrainte T160,,KG,327.79,inactif,FOUR019
ART018,Gaine technique 3m,ARMATURE,KG,204.86,ACTIF,FOUR010
ART019,Linteau préfabriqué 1m20,ARMATURE,kilo,-352.4485736702939,INACTIF,FOUR013
ART020,Linteau préfabriqué 1m20,ISOLATION,L,279.9,ACTIF,FOUR001
ART021,Voile béton 18cm,ARMATURE,KG,343.67,ACTIF,FOUR009
ART022,Gaine technique 3m,ARMATURE,KG,304.81,ACTIF,FOUR014
ART023,Linteau préfabriqué 1m20,BETON,M,75.21,ACTIF,FOUR006
ART024,Planche de rive 3m,ISOLATION,M,68.72,INACTIF,FOUR003
ART025,Escalier droit 12 marches,ARMATURE,KG,27.15,INACTIF,FOUR999
ART026,Linteau préfabriqué 1m20,ARMATURE,kilo,499.19,ACTIF,FOUR017
ART027,Gaine technique 3m,ARMATURE,L,93.33,INACTIF,FOUR018
ART028,Escalier droit 12 marches,ARMATURE,L,276.55,ACTIF,FOUR010
ART029,Linteau préfabriqué 1m20,BETON,L,57.86,INACTIF,FOUR004
ART030,Dalle pleine 20cm,BETON,KG,251.74,ACTIF,FOUR006
ART031,Prémur 15cm,ARMATURE,L,484.79,ACTIF,FOUR003
ART032,Linteau préfabriqué 1m20,BETON,M,381.01,ACTIF,FOUR018
ART033,Planche de rive 3m,BETON,M,277.73,INACTIF,FOUR018
ART034,Plaque de sol 40x40,ARMATURE,L,85.77,INACTIF,FOUR007
ART035,Gaine technique 3m,ISOLATION,L,277.51,INACTIF,FOUR013
ART036,Gaine technique 3m,ISOLATION,M,288.23,inactif,FOUR015
ART037,Planche de rive 3m,BETON,M,379.39,inactif,FOUR012
ART038,Dalle pleine 20cm,BETON,M,259.49,inactif,FOUR006
ART039,Voile béton 18cm,ARMATURE,KG,261.6,INACTIF,FOUR016
ART040,Escalier droit 12 marches,ISOLATION,L,330.91,inactif,FOUR999
ART041,Dalle pleine 20cm,BETON,L,0.0,ACTIF,FOUR015
ART042,Poteau carré 25x25,ARMATURE,M,334.37,ACTIF,FOUR010
ART043,Planche de rive 3m,ARMATURE,KG,314.12,ACTIF,FOUR007
ART044,Poteau carré 25x25,BETON,M,-172.42400357992366,ACTIF,FOUR006
ART045,Escalier droit 12 marches,ISOLATION,M,375.37,ACTIF,FOUR014
ART046,Prémur 15cm,ISOLATION,M,320.52,ACTIF,FOUR019
ART047,Poteau carré 25x25,BETON,KG,466.08,ACTIF,FOUR999
ART048,Poteau carré 25x25,,KG,166.1,INACTIF,FOUR011
ART049,Voile béton 18cm,ISOLATION,L,370.24,ACTIF,FOUR004
ART050,Prémur 15cm,ISOLATION,M,201.39,INACTIF,FOUR012
ART051,Planche de rive 3m,ARMATURE,KG,64.39,ACTIF,FOUR016
ART052,Escalier droit 12 marches,BETON,M,137.91,ACTIF,FOUR010
